stroke_team,admissions,age,age > 80,male,prior_disability,prior_disability_0-2,stroke_severity,onset_known,onset_to_arrival_time,onset_within_4hrs,precise_onset_known,onset_during_sleep,arrive_by_ambulance,call_to_ambulance_arrival_time,ambulance_on_scene_time,ambulance_travel_to_hospital_time,arrival_to_scan_time,thrombolysis,scan_to_thrombolysis_time,discharge_disability,discharge_disability_0-2,discharge_disability_5-6
Countess of Chester Hospital,1868.0,76.01,0.45,0.5,1.29,0.81,8.13,0.72,164.0,0.44,0.34,0.3,0.79,14.0,26.0,19.0,49.0,0.12,38.5,2.93,0.49,0.25
Cumberland Infirmary,2303.0,75.05,0.41,0.51,0.71,0.87,6.06,0.76,160.0,0.47,0.45,0.17,0.78,20.0,31.0,32.5,57.0,0.13,43.0,2.66,0.54,0.13
Darent Valley Hospital,1984.0,72.64,0.37,0.56,0.71,0.88,5.58,0.58,153.0,0.38,0.36,0.09,0.76,19.0,33.0,13.0,52.0,0.11,39.0,2.13,0.64,0.16
Derriford Hospital,3943.0,75.02,0.41,0.52,0.88,0.82,6.75,0.74,213.0,0.4,0.41,0.1,0.83,24.0,33.0,16.0,30.0,0.11,32.0,2.56,0.54,0.28
Doncaster Royal Infirmary,2816.0,73.65,0.37,0.54,1.12,0.77,7.64,0.49,156.5,0.3,0.33,0.16,0.77,21.0,30.0,16.0,62.5,0.09,28.0,2.84,0.52,0.22
Dorset County Hospital,2292.0,77.47,0.49,0.51,1.4,0.76,6.86,0.57,167.0,0.35,0.18,0.08,0.8,30.0,34.0,20.0,87.0,0.09,33.0,2.88,0.47,0.19
East Surrey Hospital,3009.0,75.67,0.45,0.52,0.96,0.83,6.31,0.69,125.0,0.48,0.23,0.09,0.82,17.0,31.0,20.0,55.0,0.08,35.0,2.31,0.6,0.23
Eastbourne District General Hospital,2562.0,77.49,0.5,0.49,0.99,0.81,6.78,0.6,142.0,0.4,0.37,0.14,0.85,20.0,32.0,20.0,27.0,0.08,43.0,2.96,0.42,0.23
Epsom Hospital,1529.0,77.6,0.51,0.49,0.94,0.79,6.21,0.88,198.0,0.47,0.39,0.05,0.79,15.0,28.0,11.0,44.0,0.07,34.0,2.92,0.45,0.24
Fairfield General Hospital,5673.0,72.61,0.34,0.54,0.97,0.8,7.62,0.63,303.5,0.29,0.35,0.14,0.79,17.0,30.0,21.0,22.0,0.1,35.0,2.95,0.41,0.16
Frimley Park Hospital,2628.0,73.66,0.38,0.54,0.74,0.89,4.71,0.68,182.0,0.39,0.43,0.12,0.77,17.0,28.0,15.0,42.0,0.14,31.5,2.0,0.68,0.13
Furness General Hospital,1285.0,75.95,0.43,0.54,1.05,0.82,7.95,0.6,132.0,0.39,0.18,0.13,0.78,18.5,20.0,14.0,52.0,0.09,51.0,2.61,0.51,0.19
Glan Clwyd District General Hospital,1915.0,75.9,0.43,0.5,0.86,0.83,7.74,0.95,415.0,0.35,0.38,0.17,0.81,18.5,28.5,18.5,72.0,0.14,38.0,2.52,0.5,0.22
Gloucestershire Royal Hospital,4419.0,76.31,0.47,0.52,0.87,0.82,6.82,0.53,165.0,0.33,0.37,0.17,0.8,24.0,34.0,22.0,90.0,0.1,35.0,2.81,0.46,0.2
Grange University Hospital,493.0,70.92,0.25,0.6,0.29,0.97,4.94,0.61,262.0,0.28,0.39,0.17,0.47,102.5,27.0,22.0,51.0,0.11,44.0,1.36,0.8,0.15
Great Western Hospital Swindon,2099.0,74.27,0.4,0.54,1.32,0.68,5.67,0.66,184.0,0.38,0.24,0.19,0.78,27.0,34.0,17.0,51.0,0.1,41.0,3.03,0.38,0.25
Hereford County Hospital,2824.0,76.92,0.47,0.51,1.03,0.82,7.36,0.65,172.0,0.39,0.4,0.15,0.85,21.0,27.0,21.0,72.0,0.08,39.0,2.83,0.47,0.22
Hull Royal Infirmary,4444.0,74.75,0.41,0.53,1.26,0.8,6.97,0.75,257.0,0.37,0.33,0.13,0.8,16.0,28.0,16.0,60.0,0.11,24.0,2.68,0.53,0.25
Invicta Ward Kent and Canterbury Hospital,1094.0,75.13,0.41,0.53,0.71,0.9,7.82,0.75,155.0,0.51,0.1,0.08,0.9,21.0,36.0,24.0,35.0,0.17,28.0,2.27,0.64,0.13
Ipswich Hospital,2927.0,77.12,0.49,0.52,1.19,0.81,8.05,0.75,159.5,0.47,0.16,0.15,0.85,22.0,31.0,16.0,52.0,0.13,36.0,2.96,0.45,0.24
James Cook University Hospital,3829.0,75.18,0.42,0.5,1.37,0.73,7.88,0.94,358.0,0.39,0.46,0.23,0.84,21.0,31.0,15.0,65.0,0.14,17.0,2.98,0.41,0.22
James Paget Hospital,2614.0,76.25,0.44,0.52,1.58,0.77,7.94,0.54,156.0,0.35,0.38,0.17,0.83,18.0,33.0,17.0,62.0,0.11,35.5,3.27,0.36,0.21
John Radcliffe Hospital,2533.0,74.68,0.42,0.54,1.29,0.77,8.6,0.72,128.0,0.52,0.43,0.11,0.92,16.0,26.0,24.0,38.0,0.2,27.0,2.9,0.45,0.22
King's College Hospital HASU,2539.0,66.72,0.22,0.56,0.73,0.86,6.27,0.75,219.5,0.4,0.29,0.12,0.8,18.0,28.0,13.0,33.0,0.14,25.0,2.33,0.62,0.16
Kings Mill Hospital,3134.0,74.51,0.4,0.51,1.06,0.79,7.24,0.83,220.0,0.43,0.21,0.25,0.79,21.0,31.5,15.0,72.0,0.12,34.0,2.83,0.4,0.17
Leeds General Infirmary,3757.0,72.71,0.36,0.53,1.15,0.81,8.07,0.49,160.0,0.31,0.31,0.17,0.77,18.0,30.0,14.0,66.0,0.1,27.0,2.56,0.53,0.17
Leicester Royal Infirmary,4515.0,73.79,0.4,0.53,1.31,0.77,7.3,0.64,158.0,0.42,0.25,0.08,0.8,22.0,36.0,17.0,59.0,0.12,20.0,3.18,0.41,0.22
Leighton Hospital,2046.0,76.12,0.44,0.51,1.08,0.81,8.71,0.6,196.5,0.34,0.27,0.16,0.76,25.0,33.0,24.0,60.0,0.07,44.5,3.22,0.32,0.21
Lincoln County Hospital,3632.0,74.57,0.39,0.54,0.79,0.87,7.29,0.69,205.0,0.39,0.37,0.16,0.82,28.0,33.0,27.0,54.0,0.12,29.0,2.4,0.58,0.21
Lister Hospital,3998.0,75.78,0.45,0.51,1.27,0.74,7.15,0.68,215.0,0.36,0.29,0.16,0.81,20.0,30.0,19.0,55.0,0.09,41.0,3.04,0.48,0.24
Luton and Dunstable Hospital,3384.0,72.62,0.36,0.56,0.92,0.81,5.64,0.7,141.0,0.48,0.22,0.08,0.85,18.0,28.0,14.0,46.0,0.18,30.0,2.83,0.46,0.18
Maelor Hospital,2274.0,75.38,0.4,0.51,1.05,0.74,7.78,0.84,282.5,0.39,0.41,0.13,0.77,18.0,28.0,22.0,80.0,0.13,31.0,2.43,0.51,0.18
Maidstone District General Hospital,3225.0,75.3,0.43,0.51,1.03,0.81,7.31,0.59,173.0,0.35,0.3,0.14,0.79,22.0,35.0,20.0,36.0,0.1,35.0,2.98,0.42,0.21
Medway Maritime Hospital,1433.0,72.9,0.35,0.55,0.89,0.83,6.39,0.6,140.0,0.39,0.27,0.12,0.84,16.0,33.0,14.0,67.0,0.11,45.0,2.69,0.46,0.16
Milton Keynes General Hospital,1312.0,73.76,0.36,0.52,0.99,0.83,8.01,0.54,136.5,0.36,0.26,0.24,0.83,15.0,30.0,13.0,33.0,0.13,24.0,2.97,0.43,0.2
Morriston Hospital,2715.0,72.87,0.35,0.55,0.94,0.86,7.04,0.75,215.0,0.41,0.41,0.09,0.64,50.0,37.0,37.0,98.0,0.17,39.0,2.04,0.72,0.18
Musgrove Park Hospital,2744.0,76.06,0.45,0.52,1.01,0.81,6.54,0.57,151.0,0.39,0.35,0.17,0.78,30.0,30.0,23.0,21.0,0.08,49.0,2.73,0.54,0.22
New Cross Hospital,4423.0,73.92,0.39,0.53,1.25,0.83,8.02,0.45,108.0,0.36,0.21,0.09,0.76,14.0,32.0,14.0,58.0,0.11,26.0,2.81,0.53,0.22
Norfolk and Norwich University Hospital,5310.0,76.96,0.48,0.51,1.0,0.81,5.96,0.63,158.0,0.41,0.3,0.14,0.81,21.0,32.0,22.0,71.0,0.1,27.5,2.8,0.49,0.22
North Bristol Hospitals,4121.0,75.04,0.44,0.51,1.09,0.79,8.38,0.66,170.0,0.4,0.38,0.18,0.83,23.0,35.0,17.0,13.0,0.13,40.0,2.97,0.42,0.2
North Devon District Hospital,2229.0,76.23,0.44,0.5,1.47,0.72,6.65,0.59,181.0,0.35,0.47,0.12,0.82,27.0,32.0,23.0,93.0,0.07,40.0,2.48,0.54,0.18
Northampton General Hospital,4589.0,73.11,0.36,0.54,1.04,0.82,6.47,0.48,142.0,0.33,0.23,0.17,0.86,20.0,35.0,19.0,37.0,0.1,27.0,2.74,0.47,0.2
Northumbria Specialist Emergency Care Hospital HASU,3242.0,72.35,0.32,0.55,0.96,0.85,5.75,0.75,249.0,0.37,0.4,0.2,0.63,23.0,25.0,16.0,76.0,0.11,24.0,2.33,0.64,0.14
Northwick Park Hospital HASU,2987.0,70.76,0.32,0.56,1.46,0.76,6.47,0.69,222.0,0.36,0.44,0.07,0.76,18.0,27.0,17.0,37.0,0.14,14.0,2.51,0.62,0.16
Peterborough City Hospital,3463.0,75.05,0.42,0.54,0.91,0.81,8.1,0.79,175.0,0.47,0.45,0.15,0.82,18.0,33.0,18.0,95.0,0.12,35.0,2.27,0.57,0.16
Pinderfields Hospital,5091.0,73.1,0.35,0.54,1.35,0.71,7.77,0.69,203.0,0.38,0.34,0.17,0.78,18.0,32.0,17.0,42.0,0.13,38.0,3.29,0.35,0.22
Prince Charles Hospital,2419.0,71.71,0.31,0.56,0.77,0.9,9.3,0.81,323.5,0.35,0.4,0.2,0.72,,,,46.0,0.1,38.0,2.75,0.5,0.19
Prince Philip Hospital,885.0,75.75,0.43,0.51,1.26,0.74,7.63,0.85,224.0,0.44,0.3,0.16,0.78,,,,25.0,0.14,41.0,2.84,0.45,0.27
Princess Alexandra Hospital,47.0,77.07,0.6,0.45,1.43,0.68,8.21,0.49,119.0,0.34,0.13,0.04,0.89,,,,54.0,0.11,61.0,3.25,0.28,0.21
Princess Of Wales Hospital,1821.0,73.36,0.35,0.55,0.82,0.84,6.33,0.69,205.0,0.37,0.37,0.13,0.63,51.0,41.0,11.0,67.0,0.12,46.0,2.3,0.57,0.18
Princess Royal Hospital Haywards Heath,21.0,75.36,0.38,0.71,1.14,0.81,9.33,1.0,153.0,0.67,0.48,0.19,0.81,,,,49.0,0.19,40.5,2.87,0.38,0.19
Princess Royal Hospital Telford,5377.0,73.6,0.37,0.51,0.8,0.82,5.42,0.85,218.0,0.45,0.28,0.2,0.74,21.0,27.0,21.0,92.0,0.12,39.0,2.58,0.52,0.16
Princess Royal University Hospital HASU,2199.0,72.72,0.37,0.55,0.52,0.91,5.06,0.71,150.0,0.46,0.01,0.0,0.8,19.0,27.0,18.0,49.0,0.11,35.0,2.25,0.7,0.14
Queen Alexandra Hospital Portsmouth,5739.0,75.28,0.43,0.52,1.26,0.72,7.48,0.69,151.0,0.44,0.23,0.12,0.83,13.0,31.0,15.0,83.0,0.15,22.0,2.94,0.42,0.18
Queen Elizabeth Hospital Edgbaston,3184.0,72.15,0.35,0.55,0.78,0.84,5.88,0.55,145.0,0.36,0.45,0.15,0.68,13.0,35.0,15.0,56.0,0.09,38.0,2.48,0.63,0.19
Queen Elizabeth Hospital Kings Lynn,3302.0,76.0,0.45,0.5,0.68,0.88,7.65,0.52,141.0,0.38,0.39,0.11,0.83,21.0,31.0,20.0,71.0,0.15,22.0,2.63,0.51,0.2
Queen Elizabeth the Queen Mother Hospital,1417.0,77.02,0.47,0.49,1.0,0.8,8.09,0.59,110.0,0.45,0.18,0.05,0.89,17.0,28.0,18.0,45.0,0.13,25.5,2.91,0.45,0.24
Queen's Medical Centre - Nottingham,1592.0,72.93,0.38,0.51,0.4,0.93,7.93,0.54,166.0,0.34,0.01,0.0,0.76,20.0,36.0,14.0,63.0,0.13,28.0,2.76,0.48,0.18
Queens Hospital Romford HASU,2693.0,68.9,0.27,0.58,0.96,0.84,6.15,0.74,186.0,0.43,0.29,0.04,0.78,18.0,26.0,14.0,46.0,0.18,21.0,1.98,0.68,0.14
Royal Berkshire Hospital,3757.0,74.23,0.39,0.55,0.64,0.87,7.77,0.79,149.0,0.5,0.37,0.04,0.83,14.0,28.0,17.0,28.0,0.25,16.0,2.32,0.6,0.17
Royal Blackburn Hospital,2891.0,73.34,0.36,0.52,1.2,0.76,7.56,0.59,180.0,0.35,0.33,0.07,0.8,20.0,27.0,23.0,57.0,0.09,41.0,2.82,0.49,0.22
Royal Cornwall Hospital,2965.0,75.32,0.41,0.53,1.17,0.81,7.87,0.54,160.0,0.35,0.29,0.07,0.87,29.0,34.0,28.0,20.0,0.08,41.0,2.73,0.59,0.27
Royal Derby Hospital,5418.0,74.22,0.4,0.53,0.96,0.82,8.43,0.51,163.0,0.31,0.42,0.14,0.71,22.0,34.0,18.0,98.0,0.09,28.0,2.87,0.42,0.18
Royal Devon and Exeter Hospital,3379.0,76.78,0.48,0.49,1.24,0.77,7.24,0.76,215.0,0.41,0.36,0.2,0.79,26.0,31.0,24.0,60.0,0.11,29.0,2.86,0.5,0.23
Royal Hallamshire Hospital,4834.0,73.6,0.38,0.54,1.06,0.81,6.06,0.47,170.0,0.29,0.25,0.17,0.88,18.0,34.0,16.0,53.0,0.08,44.0,2.64,0.61,0.18
Royal Hampshire County Hospital,3351.0,76.03,0.46,0.52,1.06,0.81,6.98,0.67,177.0,0.39,0.32,0.18,0.84,14.0,29.0,24.0,68.0,0.09,27.0,2.98,0.42,0.19
Royal Lancaster Infirmary,2030.0,75.97,0.45,0.53,0.99,0.82,6.35,0.6,171.0,0.37,0.18,0.14,0.78,17.0,27.0,28.0,70.0,0.08,63.5,2.72,0.5,0.21
Royal Liverpool University Hospital,3241.0,71.78,0.32,0.53,0.92,0.83,7.1,0.77,371.0,0.31,0.12,0.06,0.56,28.0,28.0,18.0,59.0,0.09,29.0,2.21,0.61,0.18
Royal London Hospital HASU,1980.0,65.33,0.2,0.6,0.79,0.87,5.68,0.81,197.0,0.45,0.55,0.1,0.73,18.0,25.0,14.0,27.0,0.21,16.0,2.0,0.68,0.09
Royal Preston Hospital,2773.0,73.64,0.38,0.53,1.02,0.8,6.68,0.62,203.0,0.35,0.3,0.12,0.74,23.0,26.5,20.5,62.0,0.07,40.0,2.41,0.6,0.22
Royal Stoke University Hospital,5596.0,73.11,0.34,0.54,0.7,0.87,6.89,0.51,147.0,0.33,0.37,0.06,0.83,15.0,34.0,16.0,45.0,0.12,27.0,1.65,0.72,0.16
Royal Sussex County Hospital,2842.0,76.66,0.48,0.49,1.24,0.76,7.75,0.48,128.0,0.34,0.36,0.17,0.86,17.0,30.0,14.0,36.0,0.09,34.0,2.97,0.43,0.18
Royal United Hospital Bath,2889.0,76.07,0.45,0.53,1.09,0.76,6.83,0.62,203.0,0.34,0.39,0.19,0.8,29.0,35.0,27.0,52.0,0.09,36.0,3.03,0.42,0.24
Royal Victoria Infirmary,4125.0,72.46,0.35,0.55,1.31,0.77,7.55,0.84,310.0,0.38,0.39,0.2,0.7,23.0,34.0,12.0,43.0,0.13,23.0,2.61,0.55,0.16
Russells Hall Hospital,2774.0,73.93,0.38,0.55,0.87,0.84,7.75,0.69,148.0,0.43,0.38,0.07,0.75,13.0,33.0,11.0,53.0,0.12,42.0,2.46,0.56,0.22
Salford Royal Hospital,7102.0,70.85,0.3,0.55,1.17,0.78,6.09,0.82,371.0,0.31,0.44,0.23,0.88,20.0,30.0,21.0,39.0,0.08,36.0,2.29,0.64,0.15
Salisbury District Hospital,2098.0,76.87,0.48,0.49,1.04,0.8,7.98,0.9,234.0,0.46,0.31,0.24,0.76,28.0,32.0,20.0,58.0,0.09,43.0,2.97,0.45,0.22
Sandwell District Hospital,3559.0,71.34,0.33,0.55,0.87,0.84,7.18,0.58,144.5,0.37,0.31,0.09,0.81,13.0,32.0,10.0,35.0,0.09,32.0,2.67,0.55,0.21
Scunthorpe General Hospital,3058.0,73.9,0.38,0.55,1.27,0.79,5.5,0.7,240.0,0.35,0.45,0.13,0.59,27.0,25.0,21.0,48.0,0.06,30.0,2.25,0.63,0.17
Southampton General Hospital,4399.0,74.61,0.42,0.53,1.21,0.81,7.68,0.57,143.0,0.37,0.29,0.12,0.8,14.0,31.0,16.0,52.0,0.13,30.0,2.78,0.53,0.21
Southend Hospital,3481.0,75.27,0.41,0.52,1.04,0.8,5.86,0.79,196.0,0.44,0.43,0.09,0.74,24.0,33.0,12.0,59.0,0.15,30.0,2.83,0.47,0.2
St George's Hospital HASU,3152.0,69.64,0.28,0.59,0.88,0.85,6.42,0.79,190.0,0.45,0.42,0.09,0.88,17.0,26.0,17.0,27.0,0.13,25.0,2.21,0.65,0.17
St Mary's Hospital Newport,1622.0,77.03,0.46,0.53,1.4,0.74,7.76,0.41,140.0,0.26,0.25,0.02,0.83,20.0,28.0,17.0,27.0,0.07,74.0,3.07,0.43,0.24
St Peter's Hospital,2814.0,76.82,0.5,0.49,1.1,0.82,6.91,0.69,162.0,0.43,0.23,0.14,0.84,16.0,32.0,14.0,39.0,0.11,39.0,2.7,0.52,0.21
St Richards Hospital,2361.0,77.48,0.49,0.51,1.54,0.74,7.53,0.95,238.0,0.48,0.36,0.24,0.8,18.0,30.0,15.0,59.0,0.13,32.0,2.86,0.46,0.19
Stepping Hill Hospital,5484.0,75.31,0.42,0.51,0.82,0.85,6.4,0.69,280.0,0.32,0.32,0.1,0.84,19.0,29.0,24.5,32.0,0.1,27.0,2.47,0.56,0.19
Sunderland Royal Hospital,3686.0,74.07,0.39,0.51,0.73,0.89,7.92,0.76,195.0,0.43,0.34,0.21,0.81,27.0,30.0,14.0,54.0,0.11,35.0,2.4,0.59,0.16
Torbay Hospital,2274.0,76.01,0.43,0.53,0.99,0.79,6.36,0.98,404.0,0.41,0.39,0.18,0.78,21.0,30.0,16.0,53.0,0.08,44.0,2.87,0.52,0.26
University College Hospital HASU,3783.0,69.75,0.29,0.58,0.89,0.85,4.53,0.93,427.0,0.37,0.28,0.15,0.9,18.0,32.0,22.0,47.0,0.13,18.0,2.38,0.57,0.1
University Hospital Aintree,2655.0,72.62,0.35,0.52,0.76,0.89,7.94,0.68,295.0,0.31,0.36,0.16,0.66,20.0,28.5,17.5,65.0,0.08,28.0,2.82,0.5,0.21
University Hospital Coventry,4248.0,73.93,0.4,0.53,0.88,0.82,8.41,0.56,117.0,0.44,0.47,0.13,0.79,16.0,31.0,16.0,39.0,0.14,26.0,3.13,0.38,0.2
University Hospital of North Durham,5128.0,73.55,0.36,0.53,1.3,0.77,6.33,0.7,212.0,0.38,0.6,0.06,0.74,28.0,35.0,20.0,68.0,0.12,24.0,2.16,0.59,0.13
University Hospital of Wales,2098.0,72.21,0.34,0.57,0.97,0.83,6.45,0.6,206.5,0.33,0.38,0.18,0.62,,,,54.0,0.12,47.0,2.71,0.58,0.19
University Hospitals Bristol Inpatient Team,2312.0,74.07,0.4,0.54,1.22,0.76,5.83,0.71,175.0,0.42,0.37,0.11,0.81,24.0,34.0,16.0,34.0,0.09,46.0,2.72,0.46,0.19
University Hospitals Dorset Stroke Service,696.0,74.24,0.37,0.57,0.94,0.82,5.72,0.74,224.5,0.39,0.23,0.14,0.75,26.0,30.5,15.0,98.0,0.11,45.5,2.38,0.6,0.13
University Hospitals of North Tees and Hartlepool,3503.0,72.6,0.35,0.52,0.87,0.88,7.26,0.58,170.0,0.35,0.29,0.18,0.77,24.0,33.0,14.0,35.0,0.15,28.0,2.26,0.6,0.15
Warwick Hospital,1035.0,77.33,0.48,0.51,1.06,0.79,7.51,0.58,419.0,0.18,0.1,0.33,0.7,19.0,35.0,18.0,132.0,0.02,21.0,2.89,0.53,0.28
Watford General Hospital,2679.0,75.62,0.45,0.52,0.95,0.82,8.51,0.77,170.0,0.45,0.24,0.07,0.83,16.0,27.0,16.0,56.0,0.17,27.0,2.73,0.55,0.25
West Suffolk Hospital,2865.0,76.35,0.46,0.52,1.06,0.78,7.78,0.47,147.0,0.32,0.35,0.12,0.81,22.0,29.0,22.0,28.0,0.09,35.5,2.78,0.5,0.24
West Wales General,1161.0,75.03,0.38,0.53,1.02,0.81,8.07,0.69,326.0,0.3,0.24,0.11,0.69,,,,26.0,0.14,53.0,2.43,0.56,0.21
Weston General Hospital,1206.0,77.85,0.52,0.5,1.53,0.68,6.91,0.55,185.0,0.32,0.38,0.17,0.81,27.5,37.0,16.0,77.0,0.08,25.0,2.81,0.44,0.17
Whiston Hospital HASU,3948.0,72.34,0.33,0.54,1.06,0.8,7.85,0.98,245.5,0.49,0.3,0.16,0.78,14.0,27.0,24.0,61.0,0.14,25.0,2.38,0.62,0.2
William Harvey Hospital,1784.0,75.06,0.42,0.52,0.47,0.93,7.94,0.66,130.0,0.48,0.22,0.08,0.85,21.0,32.0,21.0,49.0,0.14,30.0,2.07,0.68,0.16
Wirral Arrowe Park Hospital,3459.0,74.83,0.41,0.53,1.31,0.73,8.42,0.74,219.0,0.38,0.29,0.19,0.72,16.0,26.0,17.0,47.0,0.09,28.0,3.26,0.33,0.23
Withybush General Hospital,1185.0,75.89,0.42,0.55,1.37,0.77,7.89,0.99,386.0,0.35,0.4,0.1,0.69,,,,19.0,0.14,39.0,2.92,0.48,0.21
Worcestershire Royal Hospital,3614.0,74.97,0.41,0.52,0.95,0.85,5.3,0.63,158.0,0.39,0.49,0.05,0.75,16.0,31.0,24.0,77.0,0.1,43.0,2.72,0.54,0.19
Worthing Hospital,2860.0,77.98,0.51,0.47,1.33,0.77,7.66,0.64,137.0,0.43,0.19,0.15,0.83,17.0,31.0,12.0,50.0,0.13,38.0,2.7,0.52,0.21
Wycombe General Hospital,3711.0,75.53,0.46,0.52,1.13,0.79,6.46,0.72,190.0,0.41,0.3,0.07,0.92,15.0,34.0,21.0,16.0,0.14,29.0,2.82,0.45,0.2
Yeovil District Hospital,1858.0,76.97,0.47,0.54,1.21,0.76,6.05,0.67,161.0,0.42,0.44,0.14,0.8,30.0,31.0,19.0,47.0,0.15,37.0,3.06,0.44,0.23
York Hospital,4367.0,75.58,0.42,0.52,1.21,0.84,7.9,0.57,152.5,0.36,0.34,0.15,0.79,17.0,27.0,22.0,58.0,0.11,29.0,2.63,0.58,0.18
Ysbyty Gwynedd,1628.0,75.3,0.39,0.54,0.45,0.93,7.17,0.92,277.0,0.43,0.61,0.04,0.78,,,,74.0,0.11,44.0,1.86,0.69,0.19
